part_id,country,part_age_group,part_adult_child,part_ethnicity,part_ses,day_week,large_n,add_u18_work,add_18_64_work,add_65_work,add_u18_school,add_18_64_school,add_65_school,add_u18_other,add_18_64_other,add_65_other
565,UK,50-54,Adult,White,2,weekday,7,0,0,0,0,0,0,1,6,0
576,UK,15-19,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
587,UK,20-24,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
598,UK,50-54,Adult,White,3,weekday,0,0,0,0,0,0,0,0,0,0
609,UK,60-64,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
620,UK,45-49,Adult,White,7,weekend,0,0,0,0,0,0,0,0,0,0
631,UK,55-59,Adult,White,3,weekday,0,0,0,0,0,0,0,0,0,0
642,UK,25-29,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
653,UK,60-64,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
664,UK,65-69,Adult,White,1,weekend,0,0,0,0,0,0,0,0,0,0
675,UK,35-39,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
686,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
697,UK,45-49,Adult,White,1,weekend,8,0,0,0,0,0,0,3,5,0
708,UK,45-49,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
719,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
730,UK,55-59,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
741,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
752,UK,75+,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
763,UK,50-54,Adult,White,2,weekday,1,0,0,0,0,0,0,0,1,0
774,UK,60-64,Adult,White,1,weekday,5,0,0,0,0,0,0,1,4,0
785,UK,60-64,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
796,UK,45-49,Adult,Black,1,weekday,0,0,0,0,0,0,0,0,0,0
806,UK,75+,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
807,UK,75+,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
808,UK,50-54,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
809,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
810,UK,55-59,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
811,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
812,UK,75+,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
813,UK,30-34,Adult,Asian,1,weekday,4,0,0,0,0,0,0,2,2,0
814,UK,45-49,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
815,UK,60-64,Adult,White,Unknown,weekday,0,0,0,0,0,0,0,0,0,0
816,UK,35-39,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
817,UK,40-44,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
818,UK,25-29,Adult,Black,2,weekday,16,0,0,0,0,0,0,6,8,2
819,UK,40-44,Adult,White,2,weekend,0,0,0,0,0,0,0,0,0,0
820,UK,30-34,Adult,White,2,weekday,3,0,0,0,0,0,0,1,2,0
821,UK,65-69,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
822,UK,35-39,Adult,White,3,weekend,8,0,0,0,0,0,0,2,6,0
823,UK,25-29,Adult,White,6,weekend,0,0,0,0,0,0,0,0,0,0
824,UK,45-49,Adult,White,3,weekday,9,0,0,0,0,0,0,9,0,0
825,UK,50-54,Adult,White,Unemployed,weekday,4,0,0,0,0,0,0,0,4,0
826,UK,30-34,Adult,White,3,weekday,0,0,0,0,0,0,0,0,0,0
827,UK,55-59,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
828,UK,25-29,Adult,White,1,weekday,12,0,0,0,0,0,0,5,3,4
829,UK,30-34,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
830,UK,60-64,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
831,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
832,UK,40-44,Adult,White,4,weekday,18,0,0,0,0,0,0,2,1,15
833,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
834,UK,55-59,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
835,UK,35-39,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
836,UK,40-44,Adult,White,3,weekday,1,0,0,0,0,0,0,0,1,0
837,UK,30-34,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
838,UK,35-39,Adult,Mixed,1,weekday,0,0,0,0,0,0,0,0,0,0
839,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
840,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
841,UK,40-44,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
842,UK,75+,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
843,UK,60-64,Adult,White,Unemployed,weekend,0,0,0,0,0,0,0,0,0,0
844,UK,15-19,Adult,White,Unknown,weekday,4,0,0,0,0,0,0,2,2,0
845,UK,75+,Adult,White,Retired,weekend,0,0,0,0,0,0,0,0,0,0
846,UK,45-49,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
847,UK,60-64,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
848,UK,35-39,Adult,Asian,3,weekday,5,0,0,0,0,0,0,0,5,0
849,UK,20-24,Adult,White,Unemployed,weekday,4,0,0,0,0,0,0,0,2,2
850,UK,60-64,Adult,White,Unemployed,weekend,0,0,0,0,0,0,0,0,0,0
851,UK,15-19,Adult,Black,3,weekend,4,0,0,0,0,0,0,0,4,0
852,UK,55-59,Adult,White,7,weekday,0,0,0,0,0,0,0,0,0,0
853,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
854,UK,35-39,Adult,White,5,weekday,0,0,0,0,0,0,0,0,0,0
855,UK,35-39,Adult,Black,3,weekday,3,0,0,0,0,0,0,0,3,0
856,UK,60-64,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
857,UK,45-49,Adult,White,5,weekday,2,0,0,0,2,0,0,0,0,0
858,UK,50-54,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
859,UK,40-44,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
860,UK,35-39,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
861,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
862,UK,40-44,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
863,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
864,UK,55-59,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
865,UK,65-69,Adult,White,3,weekday,0,0,0,0,0,0,0,0,0,0
866,UK,55-59,Adult,White,Retired,weekend,0,0,0,0,0,0,0,0,0,0
867,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
868,UK,40-44,Adult,White,Unemployed,weekday,5,0,0,0,0,0,0,0,3,2
878,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
889,UK,65-69,Adult,White,Unknown,weekend,0,0,0,0,0,0,0,0,0,0
900,UK,30-34,Adult,White,2,weekday,1,0,0,0,0,0,0,0,1,0
911,UK,40-44,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
